Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01_FMS_Smart_Web app_Sanity,Chrome 115.0.0.0,,,2023-08-08 21:04:16,2023-08-08 21:11:02,6m - 46.018s,FAILED
,,,,,,,
Test Cases/TC_007_FMS_Smart_Verify Login feature,Chrome 115.0.0.0,,,2023-08-08 21:04:16,2023-08-08 21:04:40,23.548s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-08 21:04:17,2023-08-08 21:04:26,9.474s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-08 21:04:26,2023-08-08 21:04:26,0.181s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:04:26,2023-08-08 21:04:29,3.040s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-08 21:04:29,2023-08-08 21:04:30,0.543s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-08 21:04:30,2023-08-08 21:04:31,0.830s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-08 21:04:31,2023-08-08 21:04:31,0.440s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-08 21:04:31,2023-08-08 21:04:32,0.779s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-08 21:04:32,2023-08-08 21:04:33,0.430s,PASSED
delay(6),Chrome 115.0.0.0,,,2023-08-08 21:04:33,2023-08-08 21:04:39,6.010s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-08 21:04:39,2023-08-08 21:04:39,0.519s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-08 21:04:39,2023-08-08 21:04:40,0.689s,PASSED
,,,,,,,
Test Cases/TC_008_FMS_Smart_All Vehicles,Chrome 115.0.0.0,,,2023-08-08 21:04:40,2023-08-08 21:05:51,1m - 11.640s,PASSED
"callTestCase(findTestCase(""TC_007_FMS_Smart_Verify Login feature""), [""url"":""https://ioclfmssmart.tmsitrimble.in/FMSSmartApp/#/login"", ""username"":""11038331"", ""password"":""Nr@747900""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-08 21:04:40,2023-08-08 21:05:07,26.659s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/All Vehicle BOX""))",Chrome 115.0.0.0,,,2023-08-08 21:05:07,2023-08-08 21:05:07,0.492s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:05:07,2023-08-08 21:05:10,3.005s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/button_Grid view""))",Chrome 115.0.0.0,,,2023-08-08 21:05:10,2023-08-08 21:05:11,0.454s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Close Grid view""))",Chrome 115.0.0.0,,,2023-08-08 21:05:11,2023-08-08 21:05:14,3.562s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-08-08 21:05:14,2023-08-08 21:05:19,5.012s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/All Vehicle BOX""))",Chrome 115.0.0.0,,,2023-08-08 21:05:19,2023-08-08 21:05:20,0.444s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/button_Map view""))",Chrome 115.0.0.0,,,2023-08-08 21:05:20,2023-08-08 21:05:20,0.450s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-08 21:05:20,2023-08-08 21:05:24,4.016s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Map View-Moving Vehicle""))",Chrome 115.0.0.0,,,2023-08-08 21:05:24,2023-08-08 21:05:25,0.470s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:05:25,2023-08-08 21:05:28,3.009s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Map Vew-Untracked vehicles""))",Chrome 115.0.0.0,,,2023-08-08 21:05:28,2023-08-08 21:05:28,0.796s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:05:28,2023-08-08 21:05:31,3.018s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Map View-NRD""))",Chrome 115.0.0.0,,,2023-08-08 21:05:31,2023-08-08 21:05:32,1.014s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-08 21:05:32,2023-08-08 21:05:36,4.016s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Map View-On trip vehicles""))",Chrome 115.0.0.0,,,2023-08-08 21:05:36,2023-08-08 21:05:37,0.925s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:05:37,2023-08-08 21:05:40,3.006s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Map view-Stopped vehicle""))",Chrome 115.0.0.0,,,2023-08-08 21:05:40,2023-08-08 21:05:41,1.043s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:05:41,2023-08-08 21:05:43,2.013s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/button_View grid""))",Chrome 115.0.0.0,,,2023-08-08 21:05:43,2023-08-08 21:05:44,1.044s,PASSED
delay(6),Chrome 115.0.0.0,,,2023-08-08 21:05:44,2023-08-08 21:05:50,6.014s,PASSED
"click(findTestObject(""OB_006_Dashbaord_Grid view feature 1/Page_FMS Smart/Close Grid view""))",Chrome 115.0.0.0,,,2023-08-08 21:05:50,2023-08-08 21:05:51,0.967s,PASSED
,,,,,,,
Test Cases/TC_009_FMS_Smart_Dashabord feature 2,Chrome 115.0.0.0,,,2023-08-08 21:05:51,2023-08-08 21:06:50,58.229s,FAILED
"callTestCase(findTestCase(""TC_007_FMS_Smart_Verify Login feature""), [""url"":""https://ioclfmssmart.tmsitrimble.in/FMSSmartApp/#/login"", ""username"":""11038331"", ""password"":""Nr@747900""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-08 21:05:52,2023-08-08 21:06:11,19.661s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-08 21:06:11,2023-08-08 21:06:14,3.012s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Dashboard feature/Moving VehicleBOX""))",Chrome 115.0.0.0,,,2023-08-08 21:06:14,2023-08-08 21:06:15,0.475s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:15,2023-08-08 21:06:17,2.016s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Dashboard feature/button_Grid view""))",Chrome 115.0.0.0,,,2023-08-08 21:06:17,2023-08-08 21:06:17,0.476s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:17,2023-08-08 21:06:19,2.017s,PASSED
"verifyTextPresent(""Moving vehicles"", false)",Chrome 115.0.0.0,,,2023-08-08 21:06:19,2023-08-08 21:06:21,1.416s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:21,2023-08-08 21:06:23,2.016s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Dashboard feature/CLose Grid Button""))",Chrome 115.0.0.0,,,2023-08-08 21:06:23,2023-08-08 21:06:23,0.498s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:23,2023-08-08 21:06:25,2.010s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Dashboard feature/Stopped Vehicle BOX""))",Chrome 115.0.0.0,,,2023-08-08 21:06:25,2023-08-08 21:06:26,0.462s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:26,2023-08-08 21:06:28,2.014s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Grid view btn/Grid view-StopVeh""))",Chrome 115.0.0.0,,,2023-08-08 21:06:28,2023-08-08 21:06:28,0.466s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:28,2023-08-08 21:06:30,2.009s,PASSED
"verifyTextPresent(""Stopped vehicles"", false)",Chrome 115.0.0.0,,,2023-08-08 21:06:30,2023-08-08 21:06:31,1.306s,PASSED
delay(2),Chrome 115.0.0.0,,,2023-08-08 21:06:31,2023-08-08 21:06:34,2.009s,PASSED
"click(findTestObject(""OB_007_Dashabord Feature2/Dashboard feature/CLose Grid Button""))",Chrome 115.0.0.0,,,2023-08-08 21:06:34,2023-08-08 21:06:34,0.516s,PASSED
